张三,2026-07-01,45.50,餐饮,午餐外卖,测试
李四,2026-07-02,128.00,购物,超市采购日用品,测试
王五,2026-07-03,12.00,交通,地铁卡充值,正式
赵六,2026-07-03,2999.00,数码,购买笔记本电脑,正式
张三,2026-07-04,35.00,餐饮,咖啡+蛋糕,测试
李四,2026-07-05,68.00,娱乐,电影票两张,正式
王五,2026-07-06,520.00,餐饮,请客吃火锅,正式
赵六,2026-07-07,15.50,交通,共享单车月卡,正式
张三,2026-07-08,200.00,生活,水电费,正式
李四,2026-07-10,89.90,购物,买衣服,测试
王五,2026-07-12,4500.00,薪资,7月工资（收入）,测试
赵六,2026-07-15,22.00,餐饮,便利店便当,测试
张三,2026-07-18,300.00,生活,燃气费,正式
李四,2026-07-20,1360.00,房租,7月房租,正式
王五,2026-07-22,75.00,娱乐,KTV唱歌,测试
赵六,2026-07-25,8.50,交通,公交车,正式
张三,2026-07-28,180.00,购物,买书,正式
李四,2026-07-30,56.00,餐饮,下午茶,正式
王五,2026-07-31,2000.00,数码,买手机（分期首付）,正式
